,0,1,2
0,Дата,Единиц,Курс
1,14.11.2017,1,452685
2,15.11.2017,1,454012
3,16.11.2017,1,457049
4,17.11.2017,1,455623
5,18.11.2017,1,450404
6,21.11.2017,1,448649
7,22.11.2017,1,448272
8,23.11.2017,1,446853
9,24.11.2017,1,445482
10,25.11.2017,1,445778
11,28.11.2017,1,444248
12,29.11.2017,1,444169
13,30.11.2017,1,442908
14,01.12.2017,1,443813
15,02.12.2017,1,443861
16,05.12.2017,1,448568
17,06.12.2017,1,448762
18,07.12.2017,1,446793
19,08.12.2017,1,446015
20,09.12.2017,1,445082
21,12.12.2017,1,445920
22,13.12.2017,1,444455
23,14.12.2017,1,447606
24,15.12.2017,1,450116
25,16.12.2017,1,452813
26,19.12.2017,1,449831
27,20.12.2017,1,449962
28,21.12.2017,1,450301
29,22.12.2017,1,448567
30,23.12.2017,1,449902
31,26.12.2017,1,449877
32,27.12.2017,1,445767
33,28.12.2017,1,445904
34,29.12.2017,1,449910
35,30.12.2017,1,449570
36,10.01.2018,1,446558
37,11.01.2018,1,445205
38,12.01.2018,1,448442
39,13.01.2018,1,445740
40,16.01.2018,1,447925
41,17.01.2018,1,449298
42,18.01.2018,1,450872
43,19.01.2018,1,452999
44,20.01.2018,1,454242
45,23.01.2018,1,452839
46,24.01.2018,1,449261
47,25.01.2018,1,452577
48,26.01.2018,1,451681
49,27.01.2018,1,451488
50,30.01.2018,1,455055
51,31.01.2018,1,453371
52,01.02.2018,1,454697
53,02.02.2018,1,451272
54,03.02.2018,1,448382
55,06.02.2018,1,448945
56,07.02.2018,1,450662
57,08.02.2018,1,448507
58,09.02.2018,1,450835
59,10.02.2018,1,452344
60,13.02.2018,1,453520
61,14.02.2018,1,454535
62,15.02.2018,1,453175
63,16.02.2018,1,450810
64,17.02.2018,1,449885
65,20.02.2018,1,446299
66,21.02.2018,1,447470
67,22.02.2018,1,444845
68,23.02.2018,1,443302
69,27.02.2018,1,440936
70,28.02.2018,1,437023
71,01.03.2018,1,439775
72,02.03.2018,1,436569
73,03.03.2018,1,440091
74,06.03.2018,1,442125
75,07.03.2018,1,438980
76,08.03.2018,1,443617
77,13.03.2018,1,445481
78,14.03.2018,1,447915
79,15.03.2018,1,448665
80,16.03.2018,1,448510
81,17.03.2018,1,447937
82,20.03.2018,1,442863
83,21.03.2018,1,444373
84,22.03.2018,1,442485
85,23.03.2018,1,441185
86,24.03.2018,1,441039
87,27.03.2018,1,441096
88,28.03.2018,1,441960
89,29.03.2018,1,441138
90,30.03.2018,1,443039
91,31.03.2018,1,441169
92,03.04.2018,1,440350
93,04.04.2018,1,442924
94,05.04.2018,1,443401
95,06.04.2018,1,442902
96,07.04.2018,1,444332
97,10.04.2018,1,449418
98,11.04.2018,1,481932
99,12.04.2018,1,496293
100,13.04.2018,1,481569
101,14.04.2018,1,479101
102,17.04.2018,1,484098
103,18.04.2018,1,475834
104,19.04.2018,1,477289
105,20.04.2018,1,474512
106,21.04.2018,1,472672
107,24.04.2018,1,472815
108,25.04.2018,1,469081
109,26.04.2018,1,467752
110,27.04.2018,1,473840
111,28.04.2018,1,473142
112,29.04.2018,1,470268
113,04.05.2018,1,477796
114,05.05.2018,1,475526
115,08.05.2018,1,471364
116,09.05.2018,1,470848
117,11.05.2018,1,467546
118,12.05.2018,1,465979
119,15.05.2018,1,466351
120,16.05.2018,1,465426
121,17.05.2018,1,466589
122,18.05.2018,1,465640
123,19.05.2018,1,465113
124,22.05.2018,1,470371
125,23.05.2018,1,465522
126,24.05.2018,1,463868
127,25.05.2018,1,464313
128,26.05.2018,1,467489
129,29.05.2018,1,471018
130,30.05.2018,1,471694
131,31.05.2018,1,471205
132,01.06.2018,1,470351
133,02.06.2018,1,469466
134,05.06.2018,1,472642
135,06.06.2018,1,473482
136,07.06.2018,1,474287
137,08.06.2018,1,473175
138,09.06.2018,1,474961
139,10.06.2018,1,474057
140,14.06.2018,1,477476
141,15.06.2018,1,470743
142,16.06.2018,1,468195
143,19.06.2018,1,472573
144,20.06.2018,1,471671
145,21.06.2018,1,469942
146,22.06.2018,1,469985
147,23.06.2018,1,469111
148,26.06.2018,1,467968
149,27.06.2018,1,464903
150,28.06.2018,1,465375
151,29.06.2018,1,464176
152,30.06.2018,1,463582
153,03.07.2018,1,465527
154,04.07.2018,1,467002
155,05.07.2018,1,466929
156,06.07.2018,1,467178
157,07.07.2018,1,467542
158,10.07.2018,1,469745
159,11.07.2018,1,465709
160,12.07.2018,1,460146
161,13.07.2018,1,459393
162,14.07.2018,1,460037
163,17.07.2018,1,462684
164,18.07.2018,1,463456
165,19.07.2018,1,462131
166,20.07.2018,1,465828
167,21.07.2018,1,467849
168,24.07.2018,1,468533
169,25.07.2018,1,464313
170,26.07.2018,1,467639
171,27.07.2018,1,467634
172,28.07.2018,1,464549
173,31.07.2018,1,464513
174,01.08.2018,1,462759
175,02.08.2018,1,463312
176,03.08.2018,1,465690
177,04.08.2018,1,467092
178,07.08.2018,1,469564
179,08.08.2018,1,472184
180,09.08.2018,1,471557
181,10.08.2018,1,491640
182,11.08.2018,1,488090
183,14.08.2018,1,496393
184,15.08.2018,1,484964
185,16.08.2018,1,479841
186,17.08.2018,1,486380
187,18.08.2018,1,487123
188,21.08.2018,1,491225
189,22.08.2018,1,494298
190,23.08.2018,1,496168
191,24.08.2018,1,499691
192,25.08.2018,1,493451
193,28.08.2018,1,493004
194,29.08.2018,1,495055
195,30.08.2018,1,498209
196,31.08.2018,1,495638
197,01.09.2018,1,493256
198,04.09.2018,1,488436
199,05.09.2018,1,489249
200,06.09.2018,1,490536
201,07.09.2018,1,490789
202,08.09.2018,1,494038
203,11.09.2018,1,496905
204,12.09.2018,1,498358
205,13.09.2018,1,495567
206,14.09.2018,1,492951
207,15.09.2018,1,492181
208,18.09.2018,1,488964
209,19.09.2018,1,488288
210,20.09.2018,1,485754
211,21.09.2018,1,483122
212,22.09.2018,1,483623
213,25.09.2018,1,481376
214,26.09.2018,1,476700
215,27.09.2018,1,477341
216,28.09.2018,1,476122
217,29.09.2018,1,473499
218,02.10.2018,1,473186
219,03.10.2018,1,468425
220,04.10.2018,1,468504
221,05.10.2018,1,468380
222,06.10.2018,1,470520
